Message: Iniciamos el keep alive con (169.254.78.9,3003) | Type: KeepAlive. 
Message: Enviamos updates al Nodo (169.254.78.9,3004) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3015) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3023) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3036) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3045) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3004) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3015) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3023) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3036) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3045) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos el keep alive con (169.254.78.9,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3004) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3023) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3036) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3044) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3045) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3049) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3004) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3015) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3023) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3036) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3045) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3004) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3015) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3023) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3036) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3045) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3004) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3015) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3023) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3036) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3045) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos el keep alive con (169.254.78.9,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3004) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3023) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3036) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3044) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3045) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3049) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3004) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3015) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3023) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3036) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3045) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3004) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3015) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3023) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3036) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3045) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3004) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3015) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3023) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3036) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3045) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos el keep alive con (169.254.78.9,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3004) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3023) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3036) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3044) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3045) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3049) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3004) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3015) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3023) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3036) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3045) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3004) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3015) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3023) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3036) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3045) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3004) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3015) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3023) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3036) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3045) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos el keep alive con (169.254.78.9,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3004) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3023) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3036) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3044) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3045) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3049) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3004) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3015) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3023) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3036) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3045) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3004) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3015) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3023) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3036) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3045) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3004) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3015) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3023) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3036) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3045) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos el keep alive con (169.254.78.9,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3004) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3023) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3036) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3044) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3045) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3049) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3004) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3015) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3023) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3036) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3045) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3004) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3015) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3023) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3036) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3045) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3004) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3015) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3023) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3036) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3045) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos el keep alive con (169.254.78.9,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3004) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3023) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3036) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3044) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3045) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3049) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3004) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3015) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3023) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3036) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3045) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3004) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3015) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3023) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3036) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3045) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3004) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3015) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3023) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3036) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3045) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos el keep alive con (169.254.78.9,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3004) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3023) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3036) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3044) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3045) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3049) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3004) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3015) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3023) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3036) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3045) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3004) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3015) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3023) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3036) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3045) | Type: Update. 
