Message: Iniciamos el keep alive con (10.1.137.159,3006) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3006) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3034) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3037) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3041) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3047) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3006) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3034) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3037) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3041) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3047) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3006) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3034) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3037) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3041) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3047) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3006) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3034) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3037) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3041) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3047) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3006) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3034) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3037) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3041) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3047) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3006) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3006) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3034) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3006) | Type: KeepAlive. 
Message: Enviamos updates al Nodo (10.1.137.159,3006) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.45,3015) | Type: KeepAlive. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.45,3034) | Type: KeepAlive. 
Message: Enviamos updates al Nodo (10.1.137.45,3034) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.60,3037) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3041) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3047) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3006) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3034) | Type: Update. 
Message: El nodo(10.1.137.159,3006) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3034) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3006) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3034) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3037) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3041) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3047) | Type: KeepAlive. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3034) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3037) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3041) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3047) | Type: Update. 
Message: El nodo(10.1.137.159,3006) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3006) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3034) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3037) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3041) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3047) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3006) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3034) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3037) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3041) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3047) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3006) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3034) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3037) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3041) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3047) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3006) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3034) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3037) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3041) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3047) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3006) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3034) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3037) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3041) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3047) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3006) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3047) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3037) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3041) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3034) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3006) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3037) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3041) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3047) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3006) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3037) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3041) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3047) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3006) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3034) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3037) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3041) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3047) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3006) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3034) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3037) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3041) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3047) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3006) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3034) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3037) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3041) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3047) | Type: Update. 
Message: El nodo(10.1.137.45,3015) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3006) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3034) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3037) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3041) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3047) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3006) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3034) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3037) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3041) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3047) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3006) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3034) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3037) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3041) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3047) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3006) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3034) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3037) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3041) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3047) | Type: Update. 
Message: El nodo(10.1.137.45,3034) estaba despierto, pero ha muerto | Type: KeepAlive. 
