Message: Iniciamos el keep alive con (10.1.137.159,3002) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3008) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3018) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3046) | Type: KeepAlive. 
Message: El nodo(10.1.137.159,3002) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: El nodo(10.1.137.159,3008) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3002) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3008) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3018) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3002) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3008) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3018) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3002) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3008) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3018) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3046) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3002) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3008) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3018) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3002) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3008) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3018) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3046) | Type: KeepAlive. 
Message: El nodo(10.1.137.159,3002) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: El nodo(10.1.137.60,3046) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: El nodo(10.1.137.159,3008) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3002) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3008) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3018) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3046) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3002) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3008) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3018) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3046) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3002) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3008) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3018) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3046) | Type: KeepAlive. 
Message: El nodo(10.1.137.159,3008) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: El nodo(10.1.137.60,3046) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3002) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3008) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3018) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3046) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3002) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3008) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3018) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3046) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3002) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3008) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3018) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3046) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3002) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3008) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3018) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3046) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3002) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3008) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3018) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3046) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3002) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3008) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3018) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3046) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3002) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3008) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3018) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3046) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3002) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3008) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3018) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3046) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3002) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3008) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3018) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3046) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3002) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3008) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3018) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3046) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3002) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3008) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3018) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3046) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3002) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3008) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3018) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3046) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3002) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3008) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3018) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3046) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3002) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3008) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3018) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3046) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3002) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3008) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3018) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3046) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3002) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3008) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3018) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3046) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3002) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3008) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3018) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3046) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3002) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3008) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3018) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3046) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3002) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3008) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3018) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3046) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3002) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3008) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3018) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3046) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3002) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3008) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3018) | Type: Update. 
