Message: Iniciamos el keep alive con (10.1.137.159,3004) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3005) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3005) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3004) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3005) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3024) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3026) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3028) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3029) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3035) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3039) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3045) | Type: KeepAlive. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3005) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3039) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3005) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3039) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3045) | Type: Update. 
Message: El nodo(10.1.137.45,3024) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3005) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3039) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3045) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3004) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3005) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3024) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3026) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3028) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3029) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3035) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.60,3039) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3045) | Type: KeepAlive. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3005) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3026) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3028) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3029) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3039) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3045) | Type: Update. 
Message: El nodo(10.1.137.45,3024) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3005) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3024) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3026) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3028) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3029) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3039) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3045) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3005) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3024) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3026) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3028) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3029) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3039) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3045) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3004) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3005) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3024) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3026) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3028) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3029) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3035) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3039) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3045) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3005) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3024) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3026) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3028) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3029) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3039) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3045) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3005) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3024) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3026) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3028) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3029) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3039) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3045) | Type: Update. 
Message: El nodo(10.1.137.159,3005) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3024) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3026) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3028) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3029) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3039) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3045) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3004) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3005) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3024) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3026) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3028) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3029) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3035) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3039) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3045) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3024) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3026) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3028) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3029) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3039) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3045) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3005) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3024) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3026) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3028) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3029) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3039) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3045) | Type: Update. 
Message: El nodo(10.1.137.45,3024) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: El nodo(10.1.137.45,3026) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: El nodo(10.1.137.45,3028) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: El nodo(10.1.137.45,3029) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3005) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3039) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3045) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.119,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.199,3000) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.119,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.199,3000) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.119,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.199,3000) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.119,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.199,3000) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.119,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.199,3000) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.119,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.199,3000) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.119,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.199,3000) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.119,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.199,3000) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: UDP node is sending a message. | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.119,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.199,3000) | Type: KeepAlive. 
Message: El nodo(10.1.137.199,3000) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: UDP node is sending a message. | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.119,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.199,3000) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: UDP node is sending a message. | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.119,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.199,3000) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.119,3000) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.119,3000) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.119,3000) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.119,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.199,3000) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.119,3000) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.119,3000) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.119,3000) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.119,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.199,3000) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.119,3000) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.119,3000) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.119,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.199,3000) | Type: KeepAlive. 
Message: El nodo(10.1.137.119,3000) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: El nodo(10.1.137.199,3000) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: UDP node is sending a message. | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.119,3000) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.119,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.199,3000) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: El nodo(10.1.137.199,3000) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.119,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.199,3000) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.119,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.199,3000) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.119,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.199,3000) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.119,3000) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.119,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.199,3000) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.119,3000) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: El nodo(10.1.137.119,3000) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.119,3000) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.119,3000) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.119,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.199,3000) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.119,3000) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.119,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.199,3000) | Type: KeepAlive. 
Message: El nodo(10.1.137.119,3000) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.119,3000) | Type: Update. 
Message: UDP node is sending a message. | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.119,3000) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.119,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.199,3000) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.119,3000) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: El nodo(10.1.137.199,3000) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.119,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.119,3000) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.119,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.199,3000) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.119,3000) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: El nodo(10.1.137.119,3000) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.119,3000) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.119,3000) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.119,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.199,3000) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.119,3000) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.119,3000) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.119,3000) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.119,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.199,3000) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.119,3000) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: El nodo(10.1.137.119,3000) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.119,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.199,3000) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.119,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.199,3000) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.119,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.199,3000) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.119,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.199,3000) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.119,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.199,3000) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.119,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.199,3000) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.119,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.199,3000) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.119,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.199,3000) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.119,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.199,3000) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.119,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.199,3000) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.119,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.199,3000) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.199,3000) | Type: Update. 
